CLIENTE,MODELO,NUM_PLAZAS,MECANISMO_MODULO,IMPORTE_LINEA,CATEGORIA,TIPO_TAPICERIA,COSTE_TAPIZADO_AGRUP,P_COSTE,MARGEN_UDS_LINEA,DTO_FAMILIA,I_COMISION,I_BRUTO,DTO_PP,DTO_LINEAS,MARGEN_BRUTO,PROVINCIA,COD_COMUNIDAD,HIPOTECA,INDENCIAS_CLIENTE,PIB_VALOR_EUROS,PARO_2020T3,status_cliente
815,11,100,1,434.7,0,T,69.81,91.87,273.02,5.0,79.38,1193.7,0.0,59.69,1134.01,26,17.0,0.2336,29.0,26528.0,9.96,19.82837697414856
2250,20,200,0,502.32,0,T,30.37,146.94,325.01,2.0,82.93,1368.88,0.0,24.18,1344.7,29,1.0,0.2673,2.0,18036.0,21.75,39.384560681936485
2250,20,100,0,247.02,0,T,30.37,64.17,152.48,2.0,82.93,1368.88,0.0,24.18,1344.7,29,1.0,0.2673,2.0,18036.0,21.75,39.384560681936485
2250,20,200,4,459.54,0,T,30.37,140.83,288.34,2.0,82.93,1368.88,0.0,24.18,1344.7,29,1.0,0.2673,2.0,18036.0,21.75,39.384560681936485
2448,4,100,1,389.16,2,T,27.75,122.93,238.48,9.0,122.24,1983.06,35.64,176.24,1771.19,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,4,100,1,609.96,2,T,55.5,100.16,354.14,9.0,122.24,1983.06,35.64,176.24,1771.19,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,4,75,3,361.56,2,T,27.75,133.76,200.05,9.0,122.24,1983.06,35.64,176.24,1771.19,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,4,100,2,219.42,2,T,27.75,74.07,117.6,9.0,122.24,1983.06,35.64,176.24,1771.19,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,4,100,2,378.12,2,T,27.75,125.06,225.31,9.0,122.24,1983.06,35.64,176.24,1771.19,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
2448,16,0,6,24.84,2,T,27.75,2.53,-5.44,9.0,122.24,1983.06,35.64,176.24,1771.19,26,17.0,0.2336,32.0,26528.0,9.96,18.876052511581474
4015,5,100,1,429.18,2,T,25.04,155.17,248.97,10.0,76.38,1697.4,0.0,169.74,1527.66,3,10.0,0.2444,80.0,19066.0,15.67,7.888595760130575
4015,5,300,0,516.12,2,T,25.04,196.74,294.34,10.0,76.38,1697.4,0.0,169.74,1527.66,3,10.0,0.2444,80.0,19066.0,15.67,7.888595760130575
4015,5,100,0,322.92,2,T,25.04,119.92,177.96,10.0,76.38,1697.4,0.0,169.74,1527.66,3,10.0,0.2444,80.0,19066.0,15.67,7.888595760130575
4223,5,200,4,471.96,0,T,56.0,157.32,258.64,5.0,48.44,1040.52,19.77,52.03,968.72,4,1.0,0.2673,20.0,20465.0,21.75,13.266665117322528
4223,5,300,0,568.56,0,T,56.0,197.46,315.1,5.0,48.44,1040.52,19.77,52.03,968.72,4,1.0,0.2673,20.0,20465.0,21.75,13.266665117322528
4266,21,100,0,367.08,2,T,34.5,154.49,178.09,10.0,20.01,756.24,13.61,75.63,667.0,8,9.0,0.324,246.0,29885.0,11.4,5.735009554382273
4266,21,200,4,389.16,2,T,34.5,144.54,210.12,10.0,20.01,756.24,13.61,75.63,667.0,8,9.0,0.324,246.0,29885.0,11.4,5.735009554382273
4488,20,300,0,1233.72,0,T,100.57,209.21,714.73,5.0,35.16,1233.72,0.0,61.69,1172.03,28,13.0,0.3404,22.0,34041.0,11.89,19.55258179506088
4775,10,100,1,382.26,0,T,33.19,94.0,255.07,7.0,69.73,1092.96,20.33,76.51,996.12,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4775,10,100,1,303.6,0,T,33.19,72.6,197.81,7.0,69.73,1092.96,20.33,76.51,996.12,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4775,10,200,4,407.1,0,T,33.19,126.81,247.1,7.0,69.73,1092.96,20.33,76.51,996.12,20,16.0,0.261,105.0,32015.0,8.47,11.744110928749173
4947,10,100,1,331.2,2,T,20.12,94.0,217.08,5.0,41.12,822.48,0.0,0.0,822.48,23,1.0,0.2673,29.0,17465.0,21.75,10.177853281237155
4947,10,100,2,160.08,2,T,20.12,43.62,96.34,5.0,41.12,822.48,0.0,0.0,822.48,23,1.0,0.2673,29.0,17465.0,21.75,10.177853281237155
5198,20,350,0,647.22,1,T,47.2,212.8,387.22,8.0,29.18,647.22,11.91,51.78,583.53,4,1.0,0.2673,25.0,20465.0,21.75,11.866066014823359
6177,10,200,2,350.52,2,T,16.51,113.37,220.64,9.0,50.65,1012.92,0.0,0.0,1012.92,4,1.0,0.2673,45.0,20465.0,21.75,8.844443411548353
6177,10,100,1,331.2,2,T,16.51,94.0,220.69,9.0,50.65,1012.92,0.0,0.0,1012.92,4,1.0,0.2673,45.0,20465.0,21.75,8.844443411548353
6305,10,300,2,376.74,2,T,27.85,121.83,227.06,5.0,18.84,376.74,0.0,0.0,376.74,4,1.0,0.2673,7.0,20465.0,21.75,22.42475693992706
6327,22,100,1,351.9,2,T,27.85,130.22,193.83,7.0,55.96,1119.18,0.0,0.0,1119.18,30,14.0,0.2194,15.0,20766.0,15.06,20.469158917098696
6327,22,200,2,415.38,2,T,27.85,161.21,226.32,7.0,55.96,1119.18,0.0,0.0,1119.18,30,14.0,0.2194,15.0,20766.0,15.06,20.469158917098696
6790,23,350,0,616.86,0,T,52.21,218.51,346.15,5.0,28.78,616.86,11.72,30.84,574.3,9,7.0,0.2449,45.0,27994.0,10.98,15.210050627409602
7128,0,100,1,572.7,4,P,162.59,127.43,282.68,5.0,53.32,1145.4,21.76,57.28,1066.36,29,1.0,0.2673,8.0,18036.0,21.75,19.692280340968242
7640,20,200,0,511.98,2,T,25.87,174.43,311.68,5.0,64.7,1362.06,0.0,68.1,1293.96,3,10.0,0.2444,37.0,19066.0,15.67,11.59962190127043
7640,20,100,0,303.6,2,T,25.87,109.74,167.99,5.0,64.7,1362.06,0.0,68.1,1293.96,3,10.0,0.2444,37.0,19066.0,15.67,11.59962190127043
7640,20,100,0,242.88,2,T,25.87,82.24,134.77,5.0,64.7,1362.06,0.0,68.1,1293.96,3,10.0,0.2444,37.0,19066.0,15.67,11.59962190127043
7919,24,350,0,546.48,1,T,79.33,192.1,275.05,4.0,25.79,1229.58,0.0,0.0,1229.58,28,13.0,0.3404,10.0,34041.0,11.89,29.001165505468943
7919,24,100,0,313.26,1,T,79.33,128.77,105.16,4.0,25.79,1229.58,0.0,0.0,1229.58,28,13.0,0.3404,10.0,34041.0,11.89,29.001165505468943
7919,24,50,7,193.2,1,T,79.33,67.07,46.8,4.0,25.79,1229.58,0.0,0.0,1229.58,28,13.0,0.3404,10.0,34041.0,11.89,29.001165505468943
7919,25,50,7,176.64,1,T,158.66,27.87,-37.76,4.0,25.79,1229.58,0.0,0.0,1229.58,28,13.0,0.3404,10.0,34041.0,11.89,29.001165505468943
7960,26,100,1,418.14,0,T,54.06,120.45,243.63,5.0,67.12,1413.12,0.0,70.66,1342.46,11,1.0,0.2673,91.0,17231.0,21.75,5.70696796903784
7960,26,100,2,288.42,0,T,54.06,87.72,146.64,5.0,67.12,1413.12,0.0,70.66,1342.46,11,1.0,0.2673,91.0,17231.0,21.75,5.70696796903784
7960,12,300,0,600.3,0,T,48.75,167.53,384.02,5.0,54.8,1153.68,0.0,57.69,1095.99,11,1.0,0.2673,91.0,17231.0,21.75,5.70696796903784
7960,12,200,0,553.38,0,T,48.75,144.44,360.19,5.0,54.8,1153.68,0.0,57.69,1095.99,11,1.0,0.2673,91.0,17231.0,21.75,5.70696796903784
8031,7,200,4,290.0,0,T,52.33,110.7,126.97,2.5,0.0,1033.0,0.0,25.83,1007.17,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,100,2,177.0,0,T,52.33,52.69,71.98,2.5,0.0,1033.0,0.0,25.83,1007.17,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,100,1,256.0,0,T,52.33,78.0,125.67,2.5,0.0,1033.0,0.0,25.83,1007.17,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8031,7,100,1,310.0,0,T,52.33,97.86,159.81,2.5,0.0,1033.0,0.0,25.83,1007.17,28,13.0,0.3404,18.0,34041.0,11.89,21.616192498983533
8169,4,100,1,440.22,0,T,71.28,131.84,237.1,8.0,39.69,880.44,16.2,70.44,793.8,4,1.0,0.2673,15.0,20465.0,21.75,15.31902535346956
8277,20,200,4,386.4,2,T,26.57,140.83,219.0,3.0,42.37,847.32,0.0,0.0,847.32,48,16.0,0.261,9.0,30901.0,8.47,39.409693156258065
8719,10,200,4,340.86,2,T,32.22,126.81,181.83,5.0,37.47,749.34,0.0,0.0,749.34,29,1.0,0.2673,10.0,18036.0,21.75,17.613310989755092
8719,10,300,0,408.48,2,T,32.22,136.16,240.1,5.0,37.47,749.34,0.0,0.0,749.34,29,1.0,0.2673,10.0,18036.0,21.75,17.613310989755092
8892,5,100,1,460.92,0,T,47.75,155.89,257.28,18.0,0.0,1213.02,0.0,181.95,1031.07,50,2.0,0.2578,91.0,27011.0,10.41,10.516780605487364
8892,5,100,0,280.14,0,T,47.75,93.55,138.84,18.0,0.0,1213.02,0.0,181.95,1031.07,50,2.0,0.2578,91.0,27011.0,10.41,10.516780605487364
8892,5,200,4,471.96,0,T,47.75,157.32,266.89,18.0,0.0,1213.02,0.0,181.95,1031.07,50,2.0,0.2578,91.0,27011.0,10.41,10.516780605487364
9128,24,300,0,579.6,3,T,121.6,170.44,287.57,3.0,27.22,1044.66,18.52,0.0,1026.14,28,13.0,0.3404,3.0,34041.0,11.89,52.948641804286844
9128,24,100,0,346.38,3,T,121.6,113.86,110.93,3.0,27.22,1044.66,18.52,0.0,1026.14,28,13.0,0.3404,3.0,34041.0,11.89,52.948641804286844
9128,16,0,6,71.76,3,T,243.19,2.53,-176.49,3.0,27.22,1044.66,18.52,0.0,1026.14,28,13.0,0.3404,3.0,34041.0,11.89,52.948641804286844
9128,16,0,6,46.92,3,T,243.19,1.19,-198.65,3.0,27.22,1044.66,18.52,0.0,1026.14,28,13.0,0.3404,3.0,34041.0,11.89,52.948641804286844
9196,10,100,1,331.2,2,T,20.12,94.0,217.08,3.0,33.12,662.4,0.0,0.0,662.4,3,10.0,0.2444,2.0,19066.0,15.67,49.891860284719826
55,12,300,0,536.82,0,T,80.26,146.6,309.96,8.0,61.5,954.96,0.0,76.4,878.56,3,10.0,0.2444,11.0,19066.0,15.67,21.273960706032593
55,12,200,4,418.14,0,T,80.26,114.81,223.07,8.0,61.5,954.96,0.0,76.4,878.56,3,10.0,0.2444,11.0,19066.0,15.67,21.273960706032593
